wear,wearing,shirt,suit,purple,clothes,mask,wore,dress,bathing,pajamas,dressed,uniform,suits,shirts,t-shirt,outfit,pink,hat,sleeve
break,spring,winter,summer,fall,officially,semester,formal,hurry,quarter,seasons,autumn,begins,olympics,midterms,offically,lasted,snows,,
watching,sitting,couch,tv,movies,laying,eating,relaxing,enjoying,chilling,cuddling,sleeping,lazy,hubby,sofa,whilst,sat,drinking,cartoons,pjs
facebook,page,click,select,feed,news,wall,posted,ads,posts,link,settings,tab,profile,top,pictures,account,choose,photos,agreed
morning,woke,early,bed,breakfast,coffee,waking,8:00,late,saturday,woken,dressed,o'clock,sickness,noon,jog,pt,sunrise,downstairs,workout
bar,tonight,drinks,grill,bars,drink,pub,karaoke,sports,lounge,pool,bbq,downtown,cocktail,beers,tonite,local,sushi,crawl,hopping
loving,life,loved,hating,caring,giving,sharing,minute,absolutely,wanting,brings,warmth,atm,forgiving,unconditionally,sacrifices,supporting,affection,supportive,receiving
mad,hell,dammit,skills,>:,props,dash,fabulous,saved,yawn,backwards,roman,luckily,sane,hype,spiders,awww,grrrr,spelled,candles
friends,facebook,updates,change,click,fb,feed,changed,news,options,posts,recently,wondering,noticed,recent,default,edit,importantly,drag,dragging
dad,mom,parents,brother,told,sister,dad's,son,dads,step,helping,tells,grandma,talked,anniversary,moms,mom's,convince,yelling,conversation
edge,close,remain,silent,standing,closer,stay,longer,forever,pushed,doubt,farther,wondering,push,falling,fool,one's,anonymous,witness,remove
faith,god,trust,believing,lose,doubt,knowing,belief,humanity,impossible,leap,confidence,sight,trusting,james,strength,testing,praying,god's,patience
ha,ke,ah,aha,muah,mwah,louise,,,,,,,,,,,,,
bob,dylan,marley,pointing,fingers,judge,fo,ross,evans,jay,boredom,hits,cases,silent,square,addiction,jammin,fa,strike,claim
day,enjoy,hope,rest,enjoyed,beautiful,enjoying,wonderful,company,lasts,enjoyable,enjoys,goodmorning,outing,,,,,,
evil,sin,anger,pride,wrath,greed,hatred,lust,sins,destroy,pure,deadly,lies,envy,proverbs,enemies,wicked,enemy,destruction,innocent
blind,show,deaf,dangerous,boys,dead,touch,dumb,spell,it'll,middle,backwards,store,shot,impossible,popular,rush,treated,dirt,entertain
trey,lovers,silly,passionate,sighs,usher,lover,madness,repeat,drake,alike,,,,,,,,,
license,pass,border,drivers,permit,driving,dmv,drive,plate,slave,driver's,labor,cross,plates,shot,manual,carry,korean,health,education
good,times,bad,memories,row,intentions,goooood,nearest,remeber,gooood,freaky,,,,,,,,,
girl,boy,meets,naughty,girl's,type,kissed,marry,teenage,silly,shy,downtown,gal,girlfriend,ooh,cries,poorly,impress,awwww,whispers
time,wow,fast,flies,months,passes,quickly,fly,flying,flew,dropping,passing,belive,arrow,beleive,buildings,,,,
im,dont,anymore,idk,confused,whats,wont,isnt,alot,honestly,idc,mad,ive,upset,arent,clue,depressed,stressing,uhhh,confuse
people,hate,stupid,annoying,piss,annoy,stfu,annoyed,pisses,assume,honestly,constantly,rude,ignorant,insist,irritating,annoys,idiots,arent,ignore
memories,remember,forget,past,memory,times,moments,forever,forgotten,shared,moment,fade,remembering,happiness,treasure,feelings,cherish,finding,forgetting,erase
monday,morning,tuesday,sunday,weekend,till,til,blues,typical,mondays,postponed,dreading,yuck,survived,margarita,suspended,dread,arrival,,
music,sound,headphones,loud,bass,speakers,studio,hear,drum,volume,recording,blasting,listening,stereo,sounds,beats,amp,drums,blast,ipod
chicago,headed,heading,trip,tn,tennessee,leaving,visit,ohio,orleans,town,downtown,bound,wisconsin,alabama,headin,indiana,michigan,cleveland,columbus
rawr,dinosaur,steel,means,>:,pierce,field,grr,roar,grrr,reserve,raw,andy,exchange,thumbs,ghosts,eats,breeze,heroes,bride
people,rude,selfish,stupid,ignorant,assholes,arrogant,they're,pathetic,racist,act,minded,jerks,idiots,immature,asshole,dealing,bunch,greedy,comments
form,shape,torture,sixth,rare,round,outta,return,bent,highest,realised,sort,pure,basically,ar,forms,folks,entertainment,communication,pleased
life,moments,moment,breath,remember,breaths,measured,number,precious,cherish,lived,remind,treasure,life's,priceless,happiest,touched,dull,memorable,blonde
heroes,remember,that's,hero,gave,sit,sitting,killed,iraq,empty,everyone's,laughing,chair,here's,afghanistan,smiling,serving,heres,fallen,respect
wake,morning,sleep,early,woke,feeling,mornin,sleeping,wakes,feelin,o'clock,waking,grab,bake,piss,glasses,noon,refreshed,coma,grumpy
religion,christian,religious,christians,church,catholic,bible,beliefs,faith,muslim,philosophy,jewish,muslims,politics,science,temple,gods,priest,worship,believes
let's,lets,start,toast,alright,riot,c'mon,assholes,gooo,steelers,celebrate,that'll,lakers,lasts,giants,pens,rangers,puttin,inviting,
dinner,potatoes,chicken,beans,steak,pork,potato,mashed,rice,salad,corn,bbq,baked,fried,cooking,green,cheese,ribs,grill,yummy
freak,loves,find,crazy,adult,cares,responsible,worst,drive,understand,nightmare,lecture,hunt,front,promise,stalk,worries,children,flip,parent
yard,grass,lawn,front,side,cut,mow,fence,mowing,leaves,backyard,cutting,neighbors,garden,neighbor,trees,brings,milkshake,weeds,porch
stop,can't,thinking,believing,won't,worrying,dreaming,caring,stressing,breathing,telling,lying,stare,staring,sharing,everybody's,,,,
work,home,back,ready,ash,headed,heading,headin,relaxin,returning,cloud,,,,,,,,,
birthday,happy,wishes,b-day,celebrate,celebrating,birthdays,present,celebration,cake,celebrated,mom's,belated,dad's,brother's,sister's,son's,baby's,festivities,daddy's
throw,woah,throwing,air,hands,window,rocks,threw,gon,sayin,towel,thrown,stones,celebrate,throws,temper,granted,diamond,collecting,dynamite
im,tired,soo,sooo,bored,tire,soooo,freakin,ugh,ughh,ughhh,stressed,sooooo,bore,effin,ughhhh,fricken,soooooooooo,uhhh,frickin
luv,ya,yah,missin,thx,eva,alll,bestie,hun,ya'll,bff,xoxo,thnx,muah,tru,besties,babes,awww,ppls,lolz
fire,set,alarm,caught,drill,warm,smoke,burn,building,liar,setting,department,burning,works,bon,burned,pit,burnt,build,catching
homework,finish,finished,procrastination,finishing,due,procrastinate,assignment,studying,procrastinating,math,laundry,assignments,tons,avoiding,attempting,chemistry,housework,motivation,productive
wa,ot,bi,successful,firm,wo,lay,thrown,foundation,bricks,ti,pt,fi,fa,era,ton,fo,ala,aa,ina
god,blessed,blessings,blessing,lord,thankful,gift,grateful,god's,wonderful,giving,thanking,everyday,bless,gifts,precious,praise,receive,opportunity,share
means,doesn't,longer,bedtime,stories,point,boring,sleeping,free,parent,proud,realizing,deserve,bar,realize,drinking,hopping,board,staying,responsible
status,cancer,hour,post,fighting,died,put,wishes,honor,patient,found,person,cure,won't,mention,prayer,fought,personal,survived,reason
good,night,morning,surprisingly,hangover,facebookers,,,,,,,,,,,,,,
half,week,term,long,weeks,mid,left,short,terms,exams,prefer,halfway,quarter,realised,crisis,med,sem,technical,,
i'm,sick,tired,feeling,hearing,tire,fed,bullshit,assuming,hurting,numb,surface,expecting,aware,complaining,grrrrrr,rumors,,,
space,dead,alien,aliens,rocket,whale,earth,outer,planet,launch,ship,science,jam,killer,nasa,personal,travel,fill,giant,banks
goin,skool,bak,hav,nite,gettin,comin,gona,mornin,gunna,mite,tho,leavin,ova,ima,startin,wrk,prob,tomorow,sleepin
suicide,put,gay,means,didn't,commit,respect,born,let's,instantly,teens,escaping,committed,turning,wil,murder,sin,heads,contemplating,attempted
chaos,body,order,confusion,turns,creates,fat,illusion,figured,runs,difficult,extra,shower,denial,remove,dish,soap,vision,volume,dawn
food,eat,eating,junk,ate,hungry,poisoning,fast,healthy,foods,chinese,coma,yummy,delicious,mexican,starving,comfort,network,solid,mcdonalds
church,funeral,pm,service,sunday,memorial,attend,wednesday,passed,viewing,thursday,held,evening,services,mass,attending,celebration,protest,noon,attended
<3,love,^_^,^.^,;d,sweetheart,hun,inlove,mucho,girlies,sweetie,,,,,,,,,
don't,give,care,anymore,frankly,advice,act,personally,shy,offended,recall,reputation,anyone's,,,,,,,
mirror,staring,looked,face,stare,eyes,window,reflection,front,view,inside,sit,standing,rear,blank,image,straight,ceiling,reflect,bathroom
honey,sugar,nice,liz,sweet,spice,bun,bunch,heck,luke,master,wan,brown,coat,daddy,lemon,nut,pour,aka,helps
sleep,can't,lack,deprived,nights,unable,insomnia,caffeine,catching,repeat,function,grumpy,snoring,overrated,,,,,,
time,adventure,plenty,exciting,spare,begin,excitement,adventures,begins,awaits,jake,recover,exploring,regular,challenging,whew,explore,distant,venture,lands
long,time,i've,finally,waited,ive,ridiculously,hasn't,,,,,,,,,,,,
hmm,thinking,hmmm,wondering,hmmmm,interesting,hmmmmm,suggestions,pondering,possibly,hmmmmmm,suppose,decide,dunno,idk,mayb,curious,debating,shud,wayy
lovely,xx,evening,fab,xxx,forward,gorgeous,meal,:-),enjoyed,fantastic,lunch,:o),afternoon,lots,brilliant,thankyou,xxxx,pub,girlies
jesus,died,christ,cross,thinking,repost,let's,ashamed,lift,prove,statement,challenge,savior,stand,gospel,arms,asked,sadly,easter,users
dnt,wat,ur,dat,jus,wen,da,ppl,kno,wit,knw,bt,cuz,neva,hav,dis,sum,cnt,rite,bout
friend,friends,TRUE,friendship,lover,real,enemy,imaginary,trust,loyal,jail,rare,faithful,closest,treasure,stab,friendships,precious,FALSE,companion
forever,love,lasts,stay,meant,takes,hearts,goodbye,lifetime,promise,temporary,eternity,remain,longest,circle,pleasure,eventually,infinity,returned,remains
class,period,mr,mrs,teacher,ms,homework,lunch,grade,english,math,spanish,science,french,pe,schedule,fourth,teachers,geography,classroom
modern,society,warfare,revolution,technology,humanity,heartbreak,generation,national,duty,today's,pet,advanced,era,culture,evolution,member,violent,peaceful,todays
uncle,aunt,cousin,auntie,grandma,linda,visit,aunty,rip,cousins,mike,sue,karen,carol,visiting,lisa,nancy,sandy,jim,pat
hate,sick,:(,sucks,spam,ugh,ughh,ughhh,bein,grrr,ughhhh,sux,ruins,gah,:[,>_<, =/,uhh,spa,booo
amazing,absolutely,highly,recommend,incredible,loved,brilliant,blessed,doubt,fantastic,awe,recommended,inspiring,incredibly,suggest,simply,truely,unbelievable,hilarious,definately
shit,damn,ass,fuk,hell,wtf,fuck,dam,fuckin,bitch,pissed,aint,hella,dumb,piss,lmao,bitches,ima,outa,lmfao
bleh,bored,eff,damn,sigh,ugh,freaking,gah,effing,sucks,-_-,>_<,x_x,>.<,headache,o_o,effin,soooooo, =/,d:
watching,spongebob,patrick,watchin,shows,cartoons,entertaining,tunes,marathon,sandy,doug,nick,nonsense,scaring,nostalgia,deck,arnold,formula,favorites,represent
back,home,glad,missed,sooo,pat,dudes,wagon,sooooooooooo,lining,,,,,,,,,,
internet,connection,cable,wireless,net,computer,slow,laptop,access,connect,wifi,online,connected,speed,mobile,signal,network,download,fix,service
night,tonight,girls,blast,forward,hanging,needed,bonfire,babysitting,sleepover,girly,partying,favorites,bestie,girlies,,,,,
today,turned,realized,thought,started,yesterday,looked,didn't,felt,wasn't,woke,decided,happened,wanted,horrible,couldn't,supposed,grew,earlier,needless
flight,airport,plane,waiting,delayed,booked,flights,cancelled,flying,board,chicago,fly,boarding,london,landed,atlanta,international,denver,seattle,travel
force,switch,full,:x,turn,decided,forcing,fed,control,forced,suddenly,powerful,it'll,capable,assuming,switched,flick,movement,muse,flipped
speed,faster,fast,limit,slow,light,running,drive,moving,travel,lane,mph,slower,ahead,reached,chase,passing,thrill,travels,process
run,fast,errands,running,faster,town,track,mile,runs,hide,race,cover,devil,chase,walmart,dry,they'll,gun,tracks,hills
finally,yay,haircut,arrived,months,woohoo,sorted,gots,yayy,yaaay,phew,cleared,yesss,yayyyy,laptop,woohooo,settled,relieved,wooohooo,permit
xa,,,,,,,,,,,,,,,,,,,
naked,dancing,tap,pole,drunk,dance,dancer,corner,strip,club,lmao,dressed,dances,hottest,tease,hahahahah,dancin,telephone,revenge,imagine
round,world,makes,spin,spinning,corner,wheel,wheels,ride,circles,circle,turning,dizzy,worthwhile,record,square,rockin,walkin,gather,stops
extra,soldier,credit,class,months,enjoys,everyday,flies,country,sees,promise,support,reduced,defend,justify,points,longer,exciting,account,ordinary
math,physics,class,homework,calculus,algebra,test,problems,maths,problem,tutor,science,teacher,chemistry,add,statistics,numbers,function,formula,quiz
friends,family,fb,dear,hang,closest,close,misses,hanging,catching,ya'll,suggest,depend,boyfriends,,,,,,
cat,kitty,kitten,cats,kittens,dog,vet,poor,killed,lap,mouse,stray,fur,pet,tail,named,pussy,adorable,curiosity,soft
kings,delhi,leon,mumbai,rocks,queens,reached,rains,phew,bak,travelling,metro,royal,indians,mahal,victims,whistle,temple,joining,warriors
xa,d:,,,,,,,,,,,,,,,,,,
feet,ground,head,tall,sweep,lift,floor,small,beneath,standing,clouds,spin,knocks,knees,lead,messed,bare,lay,rough,dragging
night,fun,blast,great,party,awesome,danced,awsome,lastnight,hangover,ended,dancing,recovering,prom,enjoyed,rocked,showed,girl's,absolute,hungover
found,nuclear,power,average,majority,japan,dangerous,plant,explosion,speaker,avoid,agree,leaders,weapons,cuts,japanese,asian,president,prevent,disaster
pics,pictures,post,senior,taking,upload,posted,check,posting,camera,uploading,videos,uploaded,prom,pix,putting,photos,pic,tons,bunch
forgot,totally,oops,realized,mention,remembered,completely,didn't,yesterday,missed,supposed,crap,accidentally,realised,earlier,reminded,fm,forgotten,darn,accidently
blue,sky,eyes,green,skies,clear,white,dark,bright,color,grey,gray,red,colors,sun,clouds,shade,brown,shades,bleed
i'm,letting,alive,i've,barely,holding,that's,breathing,moment,standing,falling,living,hanging,move,fine,losing,kissing,held,changing,senses
wee,bit,bits,xx,aww,wi,pee,fancy,xo,managed,cinema,cos,lads,sorted,morn,fab,proper,realised,pint,pals
day,long,work,tomorrow,atleast,whew,relaxing,tomorow,longest,favorites,continuing,,,,,,,,,
xa,,,,,,,,,,,,,,,,,,,
group,youth,join,groups,mel,joined,joining,brooks,small,church,meeting,interested,members,large,fountain,discussion,leader,crew,retreat,member
what's,mind,happening,that's,difference,whats,worse,asks,dunno,clue,clueless,agenda,how's,,,,,,,
tht,dnt,ur,wht,ppl,knw,abt,jst,bt,nt,thts,thn,hv,frm,fr,thnk,cnt,hw,hav,wnt
fruit,eating,eat,yogurt,frozen,grapes,smoothie,mango,fresh,ate,watermelon,yummy,strawberries,bananas,apples,taste,delicious,strawberry,banana,breakfast
shots,vodka,tequila,bottle,rum,drink,shot,drinking,gin,whiskey,beer,coke,jello,drunk,redbull,sprite,margarita,drank,drinks,bottles
chick,hot,cool,chicks,guy,dude,flick,sexy,lmao,dudes,asian,coolest,dicks,hood,hottest,hott,classy,girly,hotter,ghetto
school,tomarrow,yay,fred,ginger,rogers,offers,,,,,,,,,,,,,
real,quick,easy,question,shady,slim,fast,hurry,here's,poll,honest,healthy,recovery,survey,snap,perfectly,passing,basket,quicker,response
fun,today,yesterday,swimming,tiring,carnival,shopping,exhausting,lots,soooo,picnic,hung,kiddos,filled,amazingly,surprisingly,disneyland,volunteering,,
wouldn't,didn't,wasn't,weren't,knew,couldn't,wanted,i'd,hadn't,met,happened,crushed,surprised,explain,shouldn't,would've,recognize,destroyed,bother,confusing
number,send,message,i'll,inbox,post,facebook,ill,write,active,numbers,wall,order,shows,report,slow,complaints,removed,members,knowing
night,stars,sky,shooting,pretend,airplanes,star,heck,lay,ceiling,faded,diving,airplane,staring,overrated,scar,pretending,permanent,sail,planes
day,today,good,hay,nice,hitting,hittin,ruined,stack,straw,,,,,,,,,,
study,bible,test,exam,exams,studying,guide,finals,case,hall,library,tests,session,motivation,midterm,midterms,attempting,mode,studies,quiz
text,call,bored,mee,txt,meh,meee,meeee,plans,babysitting,idk,chillen,wan,yayy,entertain, =/,fone,hmu,upp,device
super,bowl,excited,duper,hero,steelers,packers,powers,stoked,saints,puppy,bow,commercials,pro,champs,colts,pittsburgh,psyched,bummed,
pink,hm,ahhhh,floyd,ftw,hahah,misses,yep,rocks,dammit,bits,gawd,australian,,,,,,,
ugly,twin,extreme,pretty,twins,betty,truth,cities,sweater,cute,edition,confuse,personality,alike,towers,disagree,pal,americans,attractive,yikes
business,steve,mind,jobs,handle,plan,personal,nobody's,usual,rip,peoples,cards,takin,pleasure,folks,owner,elses,venture,people's,defeat
buy,bought,stuff,buying,expensive,sell,cheap,money,books,store,hobby,walmart,ffs,bucks,sold,selling,clothes,online,supplies,ebay
:/,ms,http,video,youtube,fm,rt,posted,dc,thomas,kevin,commented,uploaded,tumblr,shares,8d,demo,orleans,preview,unsure
it's,i'm,alright,it'll,what's,,,,,,,,,,,,,,,
boo,bo,yah,missing,missin,booo,accepted,forgiven,grandparents,faults,grew,thang,guest,judgment,whore,wifey,bff,awwww,scare,companion
:),haha,hah,funn,nu,signing,hmm,yessss,gooood,goooood,fyi,woooooo,ct,,,,,,,
it's,raining,cold,sunny,snowing,pouring,hallelujah,snoring,stopped,stops,march,umbrella,windy,victory,sideways,rained,gloomy,,,
hair,cut,nails,makeup,curly,salon,straight,style,make-up,wash,eyebrows,brush,cu,facial,shampoo,haircut,dry,mess,natural,curl
service,customer,community,public,announcement,customers,company,suggestions,center,entertainment,services,enemy,rep,charity,provide,delivery,respect,tolerance,excellent,forgiveness
friend,friends,list,request,facebook,add,accept,delete,requests,fb,deleted,adds,he'll,id,send,figure,message,added,christopher,adding
bad,eric,romance,habit,chemical,influence,habits,caught,revenge,pure,timing,laziness,girl's,moods,resting,lovers,motto,sticking,latte,dried
hurt,worth,find,suffering,truth,pain,gotta,end,knowing,painful,worse,bob,inevitable,worst,forgetting,lied,decide,losing,avoid,weren't
day,long,ahead,tiring,exhausting,stressful,awaits,eventful,whew,looong,loooong,allll,alll,ridiculously,,,,,,
friends,family,wonderful,support,blessed,special,relatives,grateful,helped,share,thankful,dearest,beloved,classmates,members,sharing,supported,surrounded,hugs,esp
games,play,video,playing,game,played,board,playin,hunger,wii,begin,plays,ps,addicted,addicting,gaming,violent,addictive,nerd,childish
coming,home,visit,comin,undone,awaits,wash,forgiven,they've,kingdom,arriving,daddy's,travis,shortly,,,,,,
sarah,miley,cyrus,marshall,alaska,forgetting,jessica,louise,sara,beth,parker,misses,aaron,knocked,ray,dizzy,ban,virgin,roomie,jeez
hit,wanna,cell,bout,chill,sack,chillin,hay,gym,sheets,shower,plans,upp,txt,hittin,hmu,somethin,chillen,mall,andy
night,good,mornin,al,sweetie,,,,,,,,,,,,,,,
black,show,eyed,peas,half,usher,sucked,ruined,horrible,superbowl,terrible,murder,performance,awful,everybody's,sounded,perform,ruining,carrots,touching
wanna,dont,join,hang,chill,kinda,somethin,badly,dun,lemme,takers,hangout,lend,skip,jogging,,,,,
wine,glass,bottle,drinking,red,drink,champagne,bottles,beer,glasses,tasting,enjoying,drank,cheap,sip,sipping,whiskey,large,vodka,cider
it's,time,guess,hard,unbelievable,day's,leaves,surprising,sorts,woooooo,,,,,,,,,,
american,british,accent,history,asian,america,russia,country,western,african,americans,native,culture,china,russian,ancient,european,roman,europe,indian
breaking,benjamin,loves,franklin,dawn,safety,habit,roosevelt,ben,deserve,liberty,grace,proof,quote,mistaken,pleased,puppies,temporary,entering,essential
mark,points,marks,question,bonus,twain,stretch,brownie,period,spot,repeat,halfway,brilliant,earned,pause,quotes,earn,reference,calendar,influence
i've,learned,lot,things,words,conclusion,forgotten,past,sum,recently,turned,learnt,noticed,lived,dealing,places,regret,blame,realised,experienced
times,good,multiple,remembering,we've,roll,shared,repeat,listened,reminded,charm,laughs,reminds,dozen,countless,goood,drunken,led,rats,symphony
surgery,hospital,pray,prayers,recovery,dad,praying,update,prayer,removed,thoughts,doctors,recovering,grandma,admitted,kidney,liver,mom's,healing,continue
time,relax,sit,enjoy,finally,chill,rest,bit,kick,awhile,relaxation,flag,planted,royal,reflect,housework,demand,booth,rebel,relaxed
:(,:'(,miss,sad,missing,crying,upset, ='(,aww,huhuhu,huhu,awww,noooooo,depressing,awwww,gutted,noo,;(,noooo,nooo
thin,friend,husband,married,thick,proud,date,loves,hard,works,worst,paste,wife,boyfriend,mate,anniversary,husbands,june,provide,includes
world,place,cruel,fall,matter,changed,crashing,living,fade,takes,disney,finding,shut,survive,breath,bow,paranoid,intentions,harsh,unfair
stop,dear,won't,making,procrastinating,hurting,quit,poking,annoying,acting,complaining,messing,putting,changing,bothering,pretending,bitching,planning,distracting,ruining
kid,karate,crisis,fat,diary,cud,coolest,names,playground,emo,braces,identity,adult,asian,glasses,smiles,chosen,pleasure,geek,named
phone,text,calls,texts,messages,call,reply,send,message,respond,answer,sending,texting,receive,emails,txt,ignoring,texted,recieve,cell
hear,loud,noise,sound,heard,silence,quiet,screaming,hearing,voice,sounds,singing,louder,noises,screams,neighbors,scream,annoying,crowd,yelling
sick,stomach,feeling,feel,feels,tummy,bug,butterflies,ugh,upset,dizzy,headache,ache,puke,horrible,flu,throwing,pains,virus,fever
bit,lil,tiny,tad,alittle,feelin,chilly,tipsy,wee,nervous,crush,ina,earlier,disappointed,admit,liking,freaked,hungover,slight,harsh
live,love,life,laugh,learn,breathe,simply,motto,deeply,continue,regret,kindly,intention,edge,fully,fullest,freely,loudly,unconditionally,
girls,boys,you're,sweet,girl,hear,throw,opinion,fire,left,blood,ride,ice,tough,york,princess,hook,drink,heat,alabama
lmao,omg,lmfao,funny,hahaha,rofl,hahahaha,hilarious,hahahah,hahahahaha,funniest,hahah,hahahahahaha,hahahahah,laughing,dude,convo,hahahahahahaha,omfg,priceless
pi,chi,alpha,chapter,beta,delta,sisters,mu,congrats,brothers,ladies,rush,meeting,tau,campus,greek,congratulations,formal,shout,ata
de,mi,con,la,en,el,casa,tengo,pa,quiero,es,mucho,esta,familia,muy,estoy,una,bueno,ir,spanish
saturday,weekend,sunday,friday,monday,party,excited,forward,thursday,coming,busy,plans,sat,evening,planned,afternoon,weekends,bbq,possibly,flags
song,theme,favorite,listening,singing,heard,songs,reminds,listen,fav,tune,sing,favourite,radio,sings,fave,played,listened,sang,plays
<3,brandon,zach,amazing,jr,robert,boyfriend,heather,katie,mummy,zachary,innocent,deeper,scrubs, ='(,hahahahahahaha,soooooooooo,,,
i'm,worried,slightly,bit,concerned,starting,wells,kinda,scared,upset,annoyed,paranoid,disappointed,embarrassed,terrified,obsessed,anxious,tommy,unsure,relieved
hearts,birth,kingdom,gave,souls,minds,giving,bodies,certificate,control,beat,death,heads,remembered,gods,torn,worlds,connected,sets,practical
today,feeling,bit,gardens,excitement,issues,emotions,sorts,usual,earlier,soundtrack,definately,bush,pouring,anticipation,overwhelmed,resting,bittersweet,,
green,bay,yellow,area,packers,grass,paradise,steelers,lime,bowling,pittsburgh,day's,seth,pinch,superbowl,dallas,zone,anne,gang,neon
big,deal,brother,huge,ol,ego,hug,bigger,screen,pile,ole,butts,surprise,owe,heres,wheels,seal,,,
blame,fault,wrong,responsibility,blaming,admit,neil,actions,responsible,shame,problems,smiles,apologize,apologies,excuse,excuses,consequences,hating,complain,apology
today,tomorrow,yesterday,hope,live,learn,worried,hopes,promised,goodbye,technically,recover,tomorrows,troubles,dime,cherish,remains,waits,guaranteed,
mode,chill,beast,brb,recovery,hahahah,pill,zombie,>.<,emo,panic,switch,review,btw,disturb,hardcore,entering,switching,t_t,muna
mother,nature,father,met,fucker,teresa,fuckers,law,earth,grandmother,dearest,excellent,hamster,laws,existed,fart,warned,refuses,tease,bipolar
uh,huh,yeah,uhh,uhm,um,yea,dunno,umm,nope,uhhh,duh,excuse,ohhh,yep,hu,how's,oops,yeahhh,nevermind
kyle,jones,jeremy,indiana,robinson,mike,terry,misses,purse,mrs,chilling,diary,franklin,jordan,samantha,courtney,jennifer,lucas,ford,amazin
line,lines,waiting,standing,straight,finish,fine,front,thin,cut,cross,draw,pick,bottom,drawn,box,drop,cheesy,stood,crossed
hard,easy,front,deny,ignore,pray,stay,church,christian,jesus,afraid,lord,father,laughed,celebrity,worship,re-post,swear,awake,infront
appointment,doctors,office,dr,doctor,appt,dentist,doc,doctor's,apt,surgery,visit,clinic,shots,medical,patients,schedule,orders,vet,scheduled
ahh,ahhh,ohh,haha,soo,ohhh,yess,noo,yesss,nooo,ahhhh,hahah,yessss,noooo,hahaha,mann,heck,ahhhhh,ohhhh,nooooo
night,late,stayed,staying,bed,till,slept,sleeping,midnight,stayin,sleepin,regretting,ihop,snacks,,,,,,
suffer,unhappy,enjoy,minute,mar,avoid,insanity,arrived,loving,hasn't,choose,power,suffering,events,consequences,enjoys,avoiding,miserable,suffers,bcoz
writing,write,read,story,poetry,poem,wrote,book,reading,stories,poems,written,creative,journal,writer,short,notes,poet,article,blog
damn,hell,smh,freakin,freaking,shame,sexy,pissed,dam,nerves,friggin,hella,argh,hott,where's,gawd,effin,busted,jeez,addictive
woop,xx,woo,xxx,sophie,sat,xxxx,girlies,gunna,wooo,bk,uni,gd,london,sorted,woooo,tomorow,yey,xxxxx,cinema
throat,sore,sick,hurts,fever,headache,nose,body,strep,cough,coughing,swollen,killing,aches,flu,stuffy,chest,soar,ache,swallow
:p,:d,;),hah,btw,hehe,;p,hahahaha,^_^,hehehe,:|,8),>:(,xo,hehehehe,xxxxx,:-/,xxxxxx,lease,
ankle,knee,hurts,foot,broke,hurt,broken,leg,wrist,sprained,arm,surgery,bone,fell,twisted,cast,hospital,brace,swollen,doctor
da,dum,dee,di,dah,ba,ar,ra,du,duh,ai,ver,xo,allll,,,,,,
find,finding,hard,difficult,impossible,easy,nemo,search,ways,searching,harder,decent,answers,finds,limits,concentrate,struggling,discover,loosing,frustrating
ray,charles,prime,marilyn,mortal,minister,monroe,lewis,rib,allen,transformers,lover,rachel,combat,thrill,johnson,freeze,william,ban,raw
xa,ll,don,ve,,,,,,,,,,,,,,,,
step,closer,steps,forward,taking,move,ahead,moving,direction,decide,backwards,leap,giant,foward,edge,repeat,knocked,stepping,farther,ties
nite,bed,fb,tonite,gud,goin,al,gd,peeps,mornin,rite,goodnite,gona,wrk,facebookers,callin,morn,mite,nighty,;-)
lunch,dinner,breakfast,eat,ate,eating,sushi,food,meal,yummy,table,subway,hungry,steak,cooked,supper,delicious,pizza,cafe,mcdonalds
beautiful,day,morning,sunrise,sunset,neighborhood,wonderful,enjoy,enjoying,gorgeous,peaceful,neighbor,glorious,snowy,autumn,spectacular,mountains,everythings,everything's,hike
wait,can't,till,thursday,tuesday,untill,wednesday,weeks,june,january,,,,,,,,,,
list,things,bucket,add,making,top,added,sit,names,adding,checking,realized,mental,checked,hospital,guest,imaginary,walls,daily,corner
met,person,friend,meet,glad,cool,nice,talk,guy,talked,hang,coolest,nicest,we've,sweetest,eachother,helped,personality,honestly,friendly
calling,stop,call,hear,called,callin,texting,names,they're,telling,calls,bother,cops,prank,queen,irony,yelling,determined,telephone,biscuit
south,park,africa,african,america,mexico,central,france,episode,par,pacific,england,bend,west,ghana,asia,haven,lions,kenny,australia
friend,bestest,mine,dear,maya,buddy,hang,dearest,pal,catching,chatting,oldest,companion,beloved,hangout,suggested,exact,bud,tease,deed
 =), =(,(=,hehe, =/,>:d,^.^,yayyyy, ='(,yayy,sweetie,awwww,boyz,yayyy,>:),,,,,
doesn't,exist,anymore,doesnt,leaves,sound,hopes,apparently,wise,listens,kisses,involve,shouldn't,require,cease,include,exists,pretending,refuses,necessarily
i'm,gonna,it's,make,figure,blow,rest,boring,crying,struck,dirty,clock,prince,trick,twelve,fond,assuming,,,
ich,die,ist,der,das,es,du,bin,den,mein,von,hat,mal,um,gut,dem,tag,german,wer,des
looked,walked,started,ran,turned,felt,gave,stood,walking,asked,sat,stopped,threw,jumped,began,grabbed,screamed,suddenly,couldn't,realized
year,happy,chinese,decade,advance,rabbit,cheers,lunar,tiger,calendar,beginnings,resolutions,begining,promising,,,,,,
phone,number,numbers,text,lost,send,message,contacts,inbox,txt,cell,contact,mobile,fone,everyones,deleted,msg,sim,stolen,plz
