68,:(,58548,missing,877,missin,399,gutted,310,depressed,275,nooooo,155,nooo,132,poorly,123,bummer,109,depressing,95,noooo,95,dissapointed,54,,,,,,,,,,,,,,,,
69,friends,12270,long,11032,yesterday,4938,friendship,4749,pick,4488,question,4359,spoke,4163,live,3934,speaking,3891,hold,3268,periods,3134,understand,3004,TRUE,2908,busy,2855,types,2544,grudges,1805,lucky,1587,everlasting,1468,re-post,1348,repost,1017
70,good,25141,day,15400,pretty,9919,feels,788,twas,179,hung,126,chilled,54,,,,,,,,,,,,,,,,,,,,,,,,,,
71,situation,5070,personal,3286,issues,3258,issue,2305,statement,1906,problem,1509,deal,1428,current,1428,concern,878,multiple,801,considered,777,previous,755,situations,717,problems,702,dealing,681,involved,510,avoid,463,general,456,manner,440,information,414
72,min,12226,lol,5436,dang,1492,whats,1441,sm,395,havent,283,ther,266,gods,224,blew,212,offically,168,max,125,stephen,95,jeez,75,cal,74,hmmmmmm,72,toooo,66,somthing,50,esp,46,,,,
73,metal,6644,music,5680,band,5543,rock,3862,bands,2402,heavy,1741,listening,1733,singer,1478,songs,1171,listen,1152,punk,1042,pop,917,hardcore,877,lead,822,jazz,731,blues,517,alternative,514,rap,489,folk,482,artists,451
74,motivation,4283,lack,3915,inspiration,3022,nerd,2261,inspired,1414,geek,1200,nerds,1058,motivated,875,complete,859,excuse,846,inspire,823,lacking,758,total,719,successful,587,knowledge,489,creativity,432,nerdy,346,imagination,318,difference,309,where's,307
75,week,21650,busy,9807,weekend,7764,ahead,6686,hectic,1904,schedule,1763,rest,1670,forward,1269,exciting,755,stressful,446,prepare,408,preparing,378,planned,335,productive,293,whew,274,planning,265,week's,203,tiring,193,upcoming,175,loooong,170
76,ca,3554,waht,1495,taht,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,night,28913,bed,8805,nighty,2648,peeps,835,calling,555,ya'll,426,facebookers,383,bedtime,267,welp,130,allll,35,,,,,,,,,,,,,,,,,,,,
78,lo,5803,mc,3284,holly,3179,hammer,2228,deck,1181,buddy,779,halls,678,jolly,365,hitting,251,donald,121,speakers,93,smash,77,smashed,69,suite,62,judging,43,,,,,,,,,,
79,computer,9954,finally,9231,internet,8555,fixed,5330,working,4832,laptop,4106,yay,3921,works,1220,comp,1093,online,884,slow,706,computers,558,crashed,493,library,493,access,399,figured,340,technology,274,hooked,269,finaly,253,hooray,196
80,game,10078,basketball,6210,volleyball,6095,team,4914,play,4187,softball,3431,girls,2873,soccer,2582,playing,2296,tournament,2196,practice,1860,games,1619,won,1472,varsity,1329,boys,1318,played,1200,season,1017,tryouts,871,court,563,coach,504
81,rain,7160,waiting,4970,storm,4842,dance,4351,rains,3808,pass,3544,learning,3412,isn't,2351,pours,1367,storms,848,isnt,563,pour,408,survive,322,drag,276,rainbow,264,survived,187,snows,131,sunlight,117,umbrella,114,pouring,91
82,lord,20063,psalm,4710,strength,1640,fear,1596,trust,1495,08:00,1488,isaiah,1470,praise,1304,soul,1200,salvation,1156,bible,1099,spirit,1056,righteous,1002,mercy,962,afraid,874,proverbs,799,seek,795,shield,717,thy,640,delight,608
83,:],15678,:d,4111,haha,3863,:[,1617,;],1421,hah,1203,hahah,614,ahh,489,hehe,475,ahhh,421,[:,324,;d,268,aww,227,xp,206,yayy,168,gooood,118,;p,101,yayyy,92,wayy,82,cm,74
84,risk,6584,loved,5237,greatest,4223,return,3871,learn,1698,pain,1568,failure,1436,painful,994,you'll,981,courage,812,continue,770,pleasure,507,fatal,454,counts,444,success,392,spite,376,bud,339,remain,288,biscuit,285,involve,200
85,house,5815,apartment,4720,place,3794,rent,3777,move,2821,moving,1975,month,1692,bedroom,1461,lease,1403,signed,1210,interested,1198,area,1102,apt,1070,roommate,929,complex,885,contract,869,property,811,building,745,flat,654,asap,634
86,stop,9029,crying,6495,started,5434,screaming,3299,talking,2629,yelling,2284,running,1585,laughing,1149,telling,953,acting,861,throwing,848,singing,782,shouting,739,arguing,575,walking,556,starts,536,lying,535,fighting,513,jumping,508,kicking,492
87,studying,15607,anatomy,4046,exam,3962,finals,3776,test,3222,final,2499,exams,2029,study,1862,grey's,1395,midterms,1173,library,962,midterm,645,tests,602,medical,541,quiz,497,semester,421,psych,381,lab,371,bio,337,nursing,296
88,ready,21773,weekend,9768,start,7153,week,6041,packed,1097,begin,718,tackle,453,rested,162,refreshed,88,,,,,,,,,,,,,,,,,,,,,,
